Municipio,2023,2024
Guatemala,139,1026
Chinautla,10,327
Fraijanes,,185
Palencia,35,318
San José del Golfo,,90
San José Pinula,7,264
San Pedro Ayampuc,9,204
Santa Catarina Pinula,9,142
Mixco,53,1523
San Juan Sacatepéquez,18,746
San Pedro Sacatepéquez,2,84
San Raymundo,1,175
Amatitlán,48,469
Petapa,7,65
Villa Canales,10,428
Villa Nueva,57,531
El Jícaro,12,109
Guastatoya,33,331
Morazán,10,86
San Agustín Acasaguastlán,9,177
San Antonio la Paz,10,180
San Cristóbal Acasaguastlán,6,28
Sanarate,26,119
Sansare,5,82
Alotenango,28,243
Antigua Guatemala,15,302
Ciudad Vieja,6,194
Jocotenango,29,125
Magdalena Milpas Altas,2,20
Pastores,4,99
Santo Domingo Xenacoj,,75
San Antonio Aguas Calientes,6,236
San Bartolomé Milpas Altas,,12
San Lucas Sacatepéquez,14,60
San Miguel Dueñas,10,107
Santa Catarina Barahona,6,53
Santa María de Jesús,,16
Santiago Sacatepéquez,5,28
Santa Lucía Milpas Altas,,33
Sumpango,5,69
Acatenango,6,91
Chimaltenango,8,686
El Tejar,1,81
Parramos,,73
Patzicía,,10
Patzún,,2
Pochuta,3,8
San Andres Itzapa,1,28
San José Poaquil,1,4
San Juan Comalapa,1,8
San Martín Jilotepeque,4,43
San Pedro Yepocapa,12,381
Santa Apolonia,,1
Santa Cruz Balanya,1,1
Tecpán,1,27
Zaragoza,2,22
Escuintla,477,1374
Guanagazapa,19,52
Iztapa,12,31
La Democracia,17,120
La Gomera,53,65
Masagua,57,109
Nueva Concepción,45,135
Palín,39,247
San José,35,157
San Vicente Pacaya,5,119
Santa Lucía Cotzumalguapa,63,210
Sipacate,28,41
Siquinalá,49,137
Tiquisate,42,131
Barberena,80,488
Casillas,6,437
Chiquimulilla,4,107
Cuilapa,32,419
Guazacapán,1,117
Nueva Santa Rosa,12,740
Oratorio,2,96
Pueblo Nuevo Viñas,3,142
San Juan Tecuaco,,57
San Rafael Las Flores,11,35
Santa Cruz Naranjo,27,77
Santa María Ixhuatán,4,84
Santa Rosa de Lima,2,254
Taxisco,6,83
Chiantla,,6
Cocepción Huista,1,3
Colotenango,1,15
Cuilco,3,155
Huehuetenango,2,133
Jacaltenango,69,140
La Democracia,27,53
La Libertad,2,66
Malacatancito,1,44
Nentón,4,42
Petatán,1,4
San Antonio Huista,13,177
San Gaspar Ixchil,1,15
San Ildefonso Ixtahuacán,4,57
San Mateo Ixtatán,,1
San Miguel Acatán,,1
San Pedro Necta,13,15
San Rafael Petzal,,2
San Sebastián Huehuetenango,,1
Santa Ana Huista,14,25
Santa Bárbara,,4
Santa Cruz Barillas,13,46
Santa Eulalia,,1
Santiago Chimaltenango,,1
Tectitán,,1
Todos Santos Cuchumatán,,1
Union Cantinil,,1
